Genes (Node 1),1-hop directly regulating (degree centrality),1-hop directly regulating genes,2-hop directly regulating,2-hop directly regulating.1,Regulating Mutually Exclusively (ones array),ME,category,ME oncogene,ME TS,1-hop Causal,2-hop Causal,2-hop Cascade,Protein,Classification,Pathway Name,Function / Role,Function (discrete),Gene Expression (not used),Source (Ref),Gene Expression,TF (type) (TRRUST),Mutation Count (TCGA),Moderate mutations,Low Mutations,High Mutations,Modifier Mutations,Combination gene reguation (regulated by this # genes),degree,betweenness,eigenvector,closeness,pagerank,corenumber,clustering
DCT,1,ESR1,72,72,89,0,tumorsuppressor,0,0,0,2,0,DCT,Tumorsupressor gene,"Melanogenesis-Endocrine and other factor-regulated calcium reabsorption-Two-component system-Amyotrophic lateral sclerosis-Huntington disease-Pathways of neurodegeneration - multiple diseases-Salmonella infection-Vasopressin-regulated water reabsorption-Metabolic pathways-Pyrimidine metabolism-Tyrosine metabolism
","plays a critical role in a variety of homeostatic processes, including sodium chloride reabsorption, potassium secretion, and calcium and magnesium handling.",Metabolism,,https://www.intechopen.com/books/human-skin-cancers-pathways-mechanisms-targets-and-treatments/the-multiple-roles-of-tyrosinase-related-protein-2-l-dopachrome-tautomerase-in-melanoma-biomarker-th,-11.07460299,,4,4,0,0,0,0,0.001158748552,0,0.02149262115,0.2983062565,0.0007858008454,1,0.1037231673
CYP2C19,1,ESR1,72,72,89,0,tumorsuppressor,0,0,0,2,0,CYP2C19,Tumorsupressor gene,"Drug metabolism - cytochrome P450-Metabolic pathways-Linoleic acid metabolism-Arachidonic acid metabolism-Serotonergic synapse-Chemical carcinogenesis
","The CYP2C19 gene provides instructions for making an enzyme that is found primarily in liver cells in a cell structure called the endoplasmic reticulum, which is involved in protein processing and transport",Metabolism,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5955155/,,,8,5,3,0,0,0,0.001158748552,0,0.02149262115,0.2983062565,0.0007858008454,1,0.1037231673
CYP1B1,1,ESR1,72,72,89,0,tumorsuppressor,0,0,0,2,0,CYP1B1,Tumorsupressor gene,"Metabolism of xenobiotics by cytochrome P450-Chemical carcinogenesis-Ovarian steroidogenesis-MicroRNAs in cancer-Steroid hormone biosynthesis-Tryptophan metabolism
",play a role in forming structures at the front of the eye and may also be involved in a process that regulates the secretion of fluid inside the eye.,"Apoptosis, Proliferation of cells",,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4665921/,,,4,2,1,0,1,0,0.001158748552,0,0.02149262115,0.2983062565,0.0007858008454,1,0.1037231673
CYP1A1,1,ESR1,72,72,89,0,oncogene,0,0,0,2,0,CYP1A1,oncogene,"Chemical carcinogenesis-Metabolism of xenobiotics by cytochrome P450-Retinol metabolism-Steroid hormone biosynthesis-Metabolic pathways-Ovarian steroidogenesis-Tryptophan metabolism
",CYP1A1 is involved in phase I xenobiotic and drug metabolism,"Metabolism, Proliferation of cells",,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3720830/,,,4,1,1,0,2,0,0.001158748552,0,0.02149262115,0.2983062565,0.0007858008454,1,0.1037231673
CXCL12,1,ESR1,72,72,89,0,tumorsuppressor,0,0,0,2,0,CXCL12,tumorsupressor,"Viral protein interaction with cytokine and cytokine receptor-Cytokine-cytokine receptor interaction-Axon guidance-Intestinal immune network for IgA production-Regulation of actin cytoskeleton-Human cytomegalovirus infection-Chemokine signaling pathway-NF-kappa B signaling pathway-Leukocyte transendothelial migration-Pathways in cancer-Rheumatoid arthritis-
","CXCL12 is strongly chemotactic for lymphocytes. During embryogenesis, it directs the migration of hematopoietic cells from fetal liver to bone marrow and the formation of large blood vessels. It has also been shown that CXCL12 signalling regulates the expression of CD20 on B cells.","Signalling Pathway, Apoptosis, Proliferation of cells",,https://pubmed.ncbi.nlm.nih.gov/29720724/,,,,,,,,0,0.001158748552,0,0.02149262115,0.2983062565,0.0007858008454,1,0.1037231673
CRHBP,1,ESR1,72,72,89,0,oncogene,0,0,0,2,0,CRHBP,oncogene,no pathway,Binds CRF and inactivates it. May prevent inappropriate pituitary-adrenal stimulation in pregnancy,,,https://www.ncbi.nlm.nih.gov/books/NBK21662/,-4.534659588,,2,1,0,1,0,0,0.001158748552,0,0.02149262115,0.2983062565,0.0007858008454,1,0.1037231673
CRH,1,ESR1,72,72,89,0,"oncogene, tumorsuppressor",0,0,0,2,0,CRH,both,"Neuroactive ligand-receptor interaction	,Cushing syndrome	,Long-term depression,Alcoholism	","Hormone regulating the release of corticotropin from pituitary gland (By similarity). Induces NLRP6 in intestinal epithelial cells, hence may influence gut microbiota profile ","Apoptosis, Proliferation of cells",,https://academic.oup.com/edrv/article-pdf/20/2/136/10334478/edrv0136.pdf,,,1,0,0,0,1,0,0.001158748552,0,0.02149262115,0.2983062565,0.0007858008454,1,0.1037231673
CHAT,1,ESR1,72,72,89,0,"oncogene, tumorsuppressor",0,0,0,2,0,CHAT,both,"Cholinergic synapse,Glycerophospholipid metabolism	,alpha-Linolenic acid metabolism	,Biosynthesis of secondary metabolites		",Catalyzes the reversible synthesis of acetylcholine (ACh) from acetyl CoA and choline at cholinergic synapses,Metabolism,,https://www.cancer.org/cancer/cancer-causes/genetics/genes-and-cancer/oncogenes-tumor-suppressor-genes.html,,,3,2,1,0,0,0,0.001158748552,0,0.02149262115,0.2983062565,0.0007858008454,1,0.1037231673
CDKN1B,1,ESR1,72,72,89,0,"oncogene, tumorsuppressor",0,0,0,2,0,CDKN1B,"oncogene, tumorsupressor","Cushing syndrome-MicroRNAs in cancer-Transcriptional misregulation in cancer-Prostate cancer-PI3K-Akt signaling pathway-Pathways in cancer-Endocrine resistance-ErbB signaling pathway-HIF-1 signaling pathway-FoxO signaling pathway-Cell cycle-AGE-RAGE signaling pathway in diabetic complications-Measles-Human papillomavirus infection-Epstein-Barr virus infection-Viral carcinogenesis-Chronic myeloid leukemia-Small cell lung cancer-Gastric cancer
","plays such a key role in controlling cell division, its activity is tightly regulated.",Cell division,,"https://en.wikipedia.org/wiki/CDKN1B#:~:text=P27%20is%20considered%20a%20tumor,%2C%20accelerated%20degradation%2C%20or%20mislocalization.",,,6,0,0,5,1,0,0.001158748552,0,0.02149262115,0.2983062565,0.0007858008454,1,0.1037231673
CDK4,1,ESR1,72,72,89,0,oncogene,0,0,0,2,0,CDK4,oncogene,"Glioma-Melanoma-Non-small cell lung cancer-Cellular senescence-Pathways in cancer-Hepatitis C-Endocrine resistance-Cell cycle-p53 signaling pathway-Tight junction-T cell receptor signaling pathway-AGE-RAGE signaling pathway in diabetic complications-Cushing syndrome-Human cytomegalovirus infection-Influenza A-Human papillomavirus infection-Human T-cell leukemia virus 1 infection-Kaposi sarcoma-associated herpesvirus infection-Epstein-Barr virus infection-Viral carcinogenesis
",Ser/Thr-kinase component of cyclin D-CDK4 (DC) complexes that phosphorylate and inhibit members of the retinoblastoma (RB) protein family including RB1 and regulate the cell-cycle during G(1)/S transition,"Cell Signalling, Apoptosis, Proliferation of cells",,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5085134/,,,1,1,0,0,0,0,0.001158748552,0,0.02149262115,0.2983062565,0.0007858008454,1,0.1037231673
CD24,1,ESR1,72,72,89,0,oncogene,0,0,0,2,0,CD24,oncogene,"Hematopoietic cell lineage,Natural killer cell mediated cytotoxicity		",role in cell differentiation of different cell types.,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6581687/,,,,,,,,0,0.001158748552,0,0.02149262115,0.2983062565,0.0007858008454,1,0.1037231673
BTG2,1,ESR1,72,72,89,0,tumorsuppressor,0,0,0,2,0,BTG2,tumorsupressor,no pathway,function is mediated by association with deadenylase subunits of the CCR4-NOT complex,"Apoptosis, Proliferation of cells",,"https://www.spandidos-publications.com/10.3892/ijo.2014.2765?text=abstract#:~:text=B%2Dcell%20translocation%20gene%202,acting%20as%20a%20tumor%20suppressor.",,,,,,,,0,0.001158748552,0,0.02149262115,0.2983062565,0.0007858008454,1,0.1037231673
BLM,1,ESR1,72,72,89,0,tumorsuppressor,0,0,0,2,0,BLM,tumorsupressor,"Homologous recombination	,Nonribosomal peptide structures	,Fanconi anemia pathway	",ATP-dependent DNA helicase that unwinds single- and double-stranded DNA in a 3'-5' direction,"Apoptosis, Proliferation of cells",,http://www.cancerindex.org/geneweb/BLM.htm,2.524347298,,15,10,3,1,1,0,0.001158748552,0,0.02149262115,0.2983062565,0.0007858008454,1,0.1037231673
AVP,1,ESR1,72,72,89,0,oncogene,0,0,0,2,0,AVP,oncogene,"Vasopressin-regulated water reabsorption-Neuroactive ligand-receptor interaction-Phospholipase D signaling pathway-Vascular smooth muscle contraction-Calcium signaling pathway
",The AVP gene provides instructions for making a hormone called vasopressin or antidiuretic,Signalling Pathway,,https://medlineplus.gov/genetics/gene/avp/,,,,,,,,0,0.001158748552,0,0.02149262115,0.2983062565,0.0007858008454,1,0.1037231673
AMH,1,ESR1,72,72,89,0,tumorsuppressor,0,0,0,2,0,AMH,tumorsupressor,"Cytokine-cytokine receptor interaction-TGF-beta signaling pathway-cAMP signaling pathway-Tuberculosis-Human immunodeficiency virus 1 infection-Hippo signaling pathway
","This glycoprotein, produced by the Sertoli cells of the testis, causes regression of the Muellerian duct. It is also able to inhibit the growth of tumors derived from tissues of Muellerian duct origin.","Signalling Pathway, Apoptosis, Proliferation of cells",,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5531590/,,,1,1,0,0,0,0,0.001158748552,0,0.02149262115,0.2983062565,0.0007858008454,1,0.1037231673
YBX1,1,ERBB2,79,79,31,0,oncogene,0,0,0,2,0,YBX1,oncogene,no pathway,"protein involved in various processes, such as translational repression","Apoptosis, Proliferation of cells",,https://www.jcancer.org/v08p1900.htm,,Activation,3,2,1,0,0,1,0.001158748552,0,0.02149262115,0.2983062565,0.0007858008454,1,0.1037231673
XRCC6,1,ERBB2,79,79,31,0,tumorsuppressor,0,0,0,2,0,XRCC6,tumorsupressor gene,Non-homologous end-joining,Has a role in chromosome translocation.,"Apoptosis, Proliferation of cells",,http://www.cancerindex.org/geneweb/XRCC6.htm,,Unknown,5,3,2,0,0,1,0.001158748552,0,0.02149262115,0.2983062565,0.0007858008454,1,0.1037231673
XRCC5,1,ERBB2,79,79,31,0,tumorsuppressor,0,0,0,2,0,XRCC5,tumorsupressor,Non-homologous end-joining,Has a role in chromosome translocation.,,,http://www.cancerindex.org/geneweb/XRCC5.htm,,Unknown,1,1,0,0,0,1,0.001158748552,0,0.02149262115,0.2983062565,0.0007858008454,1,0.1037231673
WWP1,1,ERBB2,79,79,31,0,oncogene,0,0,0,2,0,WWP1,oncogene,"Ubiquitin mediated proteolysis,Endocytosis		",E3 ubiquitin-protein ligase which accepts ubiquitin from an E2 ubiquitin-conjugating enzyme in the form of a thioester and then directly transfers the ubiquitin to targeted substrates.,,,https://pubmed.ncbi.nlm.nih.gov/17016436/,,Activation,10,7,1,2,0,1,0.001158748552,0,0.007456363523,0.2652120467,0.0007895321913,1,0.1037231673
VDR,1,ERBB2,79,79,31,0,tumorsuppressor,0,0,0,2,0,VDR,tumorsupressor,"Parathyroid hormone synthesis, secretion and action-Endocrine and other factor-regulated calcium reabsorption-Mineral absorption-Tuberculosis-Malaria-
","uclear receptor for calcitriol, the active form of vitamin D3 which mediates the action of this vitamin on cell","Apoptosis, Proliferation of cells",,https://www.researchgate.net/publication/12624476_Vitamin_D_receptor_as_candidate_tumor-suppressor_gene_in_severe_hyperparathyroidism_of_uremia,,Unknown,3,1,1,0,1,1,0.09038238702,0.1206467778,0.1162935553,0.3607859532,0.01855577008,5,0.1037231673
TFAP2B,1,ERBB2,79,79,31,0,oncogene,0,0,0,2,0,TFAP2B,oncogene,no pathway,Sequence-specific DNA-binding protein that interacts with inducible viral and cellular enhancer elements to regulate transcription of selected genes,"Apoptosis, Proliferation of cells",,https://www.cancer-genetics.org/TFAP2B.htm,,Unknown,6,3,2,0,1,1,0.001158748552,0,0.007456363523,0.2652120467,0.0007895321913,1,0.1037231673
TFAP2A,3,"MMP9,KRT5,ERBB2",214,"81,54,79","32,5,31",0,tumorsuppressor,0,0,0,13,0,TFAP2A,tumorsupressor,no pathway,Sequence-specific DNA-binding protein that interacts with inducible viral and cellular enhancer elements to regulate transcription of selected genes.,"Apoptosis, Proliferation of cells",,http://www.cancerindex.org/geneweb/TFAP2A.htm,,Unknown,13,8,2,0,3,3,0.001158748552,0,0.007456363523,0.2652120467,0.0007895321913,1,0.1037231673
SP4,2,"BIRC5,ERBB2",153,"74,79","26,31",0,TF,0,0,1,48,1,SP4,TF,"Activator,Complete proteome,DNA-binding,Metal-binding,Nucleus,Phosphoprotein,Polymorphism,Proteomics identification,Reference proteome,Repeat,Transcription,Transcription regulation,Zinc,Zinc-finger,",,Transcription regulation,,,,Activation,8,5,3,0,0,2,0.001158748552,0,0.007456363523,0.2652120467,0.0007895321913,1,0.1037231673
SP3,4,"BIRC5,ERBB2,PLAT,ID4",205,"74,79,52","26,31,9,6",0,TF,0,0,1,52,1,SP3,TF,"Acetylation,Activator,Alternative initiation,Alternative splicing,Complete proteome,DNA-binding,Isopeptide bond,Metal-binding,Nucleus,Phosphoprotein,Polymorphism,Proteomics identification,Reference proteome,Repeat,Repressor,Transcription,Transcription regulation,Ubl conjugation,Zinc,Zinc-finger,",,Transcription regulation,,,,Activation,8,4,0,1,3,2,0.001158748552,0,0.007456363523,0.2652120467,0.0007895321913,1,0.1037231673
PURA,1,ERBB2,79,79,31,0,TF,0,0,0,2,0,PURA,TF,"Acetylation,Activator,Coiled coil,Complete proteome,Disease mutation,DNA-binding,Mental retardation,Nucleus,Phosphoprotein,Reference proteome,Transcription,Transcription regulation,",,Transcription regulation,,,,Unknown,2,0,0,0,2,1,0.001158748552,0,0.007456363523,0.2652120467,0.0007895321913,1,0.1037231673
PAX2,1,ERBB2,79,79,31,0,oncogene,0,0,0,2,0,PAX2,oncogene,"Alternative splicing,Complete proteome,Developmental protein,Differentiation,Disease mutation,DNA-binding,Nucleus,Paired box,Phosphoprotein,Polymorphism,Proteomics identification,Reference proteome,Signal,Transcription,Transcription regulation,",,"Transcription regulation, Apoptosis, Proliferation of cells",,,,Unknown,2,1,0,0,1,1,0.003476245655,0.006605363372,0.02104216509,0.3023826209,0.0009597054951,3,0.1037231673
GATA4,1,ERBB2,79,79,31,0,tumorsuppressor,0,0,0,2,0,GATA4,tumorsupressor,"cGMP-PKG signaling pathway, Thyroid hormone signaling pathway",,"Signalling Pathway, Apoptosis, Proliferation of cells",,,,Repression,1,1,0,0,0,1,0.06141367323,0.04354703005,0.03555885803,0.315885798,0.01000439032,3,0.1037231673
GABPA,1,ERBB2,79,79,31,0,TF,0,0,0,2,0,GABPA,TF,"Complete proteome,DNA-binding,Nucleus,Phosphoprotein,Polymorphism,Reference proteome,Transcription,Transcription regulation,",,Transcription regulation,,,,Unknown,2,0,0,0,2,1,0.002317497103,0.001900981076,0.01264148102,0.2809244792,0.0009016852235,2,0.1037231673
ETV4,1,ERBB2,79,79,31,0,oncogene,0,0,0,2,0,ETV4,oncogene,Transcriptional misregulation in cancer,,"Transcriptional misregulation, Proliferation of cells",,,,Repression,,,,,,1,0.004634994206,0.005577018286,0.02001702862,0.3063542776,0.001087289579,4,0.1037231673
ELF1,1,ERBB2,79,79,31,0,TF,0,0,0,2,0,ELF1,TF,"Activator,Alternative splicing,Complete proteome,DNA-binding,Nucleus,Phosphoprotein,Polymorphism,Proteomics identification,Reference proteome,Transcription,Transcription regulation,",,"Transcription regulation, Proliferation of cells",,,,Unknown,8,4,1,1,2,1,0.001158748552,0,0.007456363523,0.2652120467,0.0007895321913,1,0.1037231673
ECD,1,ERBB2,79,79,31,0,TF,0,0,0,2,0,ECD,TF,"Activator,Alternative splicing,Complete proteome,Cytoplasm,mRNA processing,mRNA splicing,Nucleus,Phosphoprotein,Polymorphism,Proteomics identification,Reference proteome,Transcription,Transcription regulation,",,Transcription regulation,,,,Activation,5,3,1,1,0,1,0.001158748552,0,0.007456363523,0.2652120467,0.0007895321913,1,0.1037231673
ATF7,1,ERBB2,79,79,31,0,TF,0,0,0,2,0,ATF7,TF,"Activator,Alternative splicing,Complete proteome,Cytoplasm,DNA-binding,Host-virus interaction,Isopeptide bond,Metal-binding,Nucleus,Phosphoprotein,Reference proteome,Transcription,Transcription regulation,Ubl conjugation,Zinc,Zinc-finger,",,"Transcription regulation, Apoptosis",,,,Unknown,1,1,0,0,0,1,0.001158748552,0,0.007456363523,0.2652120467,0.0007895321913,1,0.1037231673
ATF1,1,ERBB2,79,79,31,0,oncogene,0,0,0,2,0,ATF1,oncogene,"Aldosterone synthesis and secretion, HTLV-I infection, Transcriptional misregulation in cancer",,Transcriptional misregulation,,,,Unknown,2,2,0,0,0,1,0.001158748552,0,0.007456363523,0.2652120467,0.0007895321913,1,0.1037231673
KLF4,2,"BIRC5,KRT19",128,"74,54","26,6",0,"oncogene, tumorsuppressor",0,0,1,51,1,KLF4,"oncogene, tumorsupressor",Signaling pathways regulating pluripotency of stem cells,,"Signalling Pathway, Apoptosis, Proliferation of cells",,,,Activation,4,2,0,0,2,2,0.001158748552,0,0.007456363523,0.2652120467,0.0007895321913,1,0.1037231673
ZEB1,2,"MUC1,ESR1",131,"59,72","10,89",0,cigene,0,0,0,4,0,ZEB1,cigene,MicroRNAs in cancer,,"Apoptosis, Proliferation of cells",,,,Repression,10,8,1,0,1,1,0.001158748552,0,0.007456363523,0.2652120467,0.0007895321913,1,0.1037231673
PIAS4,1,MUC1,59,59,10,0,TF,0,0,0,2,0,PIAS4,TF,"NF-kappa B signaling pathway, Ubiquitin mediated proteolysis, Jak-STAT signaling pathway",,Signalling Pathway,,,,Repression,4,3,1,0,0,1,0.001158748552,0,0.007456363523,0.2652120467,0.0007895321913,1,0.1037231673
PIAS2,1,MUC1,59,59,10,0,TF,0,0,0,2,0,PIAS2,TF,"Ubiquitin mediated proteolysis, Jak-STAT signaling pathway",,"Signalling Pathway, Apoptosis, Proliferation of cells",,,,Repression,6,5,0,0,1,1,0.001158748552,0,0.007456363523,0.2652120467,0.0007895321913,1,0.1037231673
PIAS1,1,MUC1,59,59,10,0,tumorsuppressor,0,0,0,2,0,PIAS1,tumorsupressor,"Ubiquitin mediated proteolysis, Jak-STAT signaling pathway, Hepatitis C",,Signalling Pathway,,,,Repression,3,3,0,0,0,1,0.001158748552,0,0.007456363523,0.2652120467,0.0007895321913,1,0.1037231673
USF1,2,"SERPINE1,ID4",123,"71,52","24,6",0,TF,0,0,0,12,0,USF1,TF,"3D-structure,Alternative splicing,Coiled coil,Complete proteome,Direct protein sequencing,DNA-binding,Isopeptide bond,Nucleus,Proteomics identification,Reference proteome,Transcription,Transcription regulation,Ubl conjugation,",,Transcription regulation,,,,Activation,7,2,1,1,3,1,0.002317497103,0.002625899977,0.008613830376,0.2813824584,0.0008799371009,2,0.1037231673
TGIF1,1,SERPINE1,71,71,24,0,TF,0,0,0,8,0,TGIF1,TF,TGF-beta signaling pathway,,"Signalling Pathway, Proliferation of cells",,,,Repression,3,1,0,0,2,1,0.06257242178,0.09576817652,0.05347830517,0.3555830243,0.009906446886,3,0.1037231673
PPARA,2,"MMP9,SERPINE1",152,"81,71","32,24",0,tumorsuppressor,0,0,0,14,0,PPARA,tumorsupressor,"PPAR signaling pathway, cAMP signaling pathway, Adipocytokine signaling pathway, Glucagon signaling pathway, Insulin resistance, Non-alcoholic fatty liver disease (NAFLD), Hepatitis C",,"Signalling Pathway, Apoptosis, Proliferation of cells",,,,Activation,4,3,0,1,0,2,0.002317497103,0.005615260778,0.02334465948,0.3096519555,0.0009115705067,2,0.1037231673
PARP1,2,"SERPINE1,JUN",77,"71,6","24,33",0,TF,0,0,0,9,0,PARP1,TF,Base excision repair,,"Apoptosis, Proliferation of cells",,,,Activation,12,7,2,2,1,1,0.06720741599,0.1153068828,0.02888509531,0.3257833145,0.01825070535,4,0.1037231673
NR4A1,1,SERPINE1,71,71,24,0,tumorsuppressor,0,0,0,8,0,NR4A1,tumorsupressor,"MAPK signaling pathway, PI3K-Akt signaling pathway, Aldosterone synthesis and secretion",,"Signalling Pathway, Apoptosis, Proliferation of cells",,,,Unknown,4,2,2,0,0,1,0.001158748552,0,0.001852038331,0.2457989177,0.0008202141058,1,0.1037231673
KLF10,1,SERPINE1,71,71,24,0,tumorsuppressor,0,0,0,8,0,KLF10,tumorsupressor,"3D-structure,Alternative splicing,Biological rhythms,Complete proteome,DNA-binding,Metal-binding,Nucleus,Phosphoprotein,Polymorphism,Reference proteome,Repeat,Repressor,Transcription,Transcription regulation,Ubl conjugation,Zinc,Zinc-finger,",,"Transcription regulation, Apoptosis, Proliferation of cells",,,,Activation,4,1,1,0,2,1,0.001158748552,0,0.001852038331,0.2457989177,0.0008202141058,1,0.1037231673
HSF1,2,"SERPINE1,JUN",77,"71,6","24,33",0,TF,0,0,0,9,0,HSF1,TF,Legionellosis,,,,,,Activation,3,3,0,0,0,1,0.001158748552,0,0.001852038331,0.2457989177,0.0008202141058,1,0.1037231673
EPAS1,1,SERPINE1,71,71,24,0,tumorsuppressor,0,0,0,8,0,EPAS1,tumorsupressor,"Pathways in cancer, Renal cell carcinoma",,"Apoptosis, Proliferation of cells",,,,Activation,11,5,2,1,3,1,0.002317497103,0.001281029081,0.0132541266,0.2758951407,0.000899927995,2,0.1037231673
NKX2-3,1,EGR1,66,66,106,0,TF,0,0,1,9,1,NKX2-3,TF,"Complete proteome,DNA-binding,Homeobox,Nucleus,Proteomics identification,Reference proteome,Transcription,Transcription regulation,",,"Transcription regulation, Proliferation of cells",,,,Unknown,,,,,,1,0.08111239861,0.09760316355,0.1316640475,0.3586866168,0.01680847059,5,0.1037231673
MAML1,1,EGR1,66,66,106,0,TF,0,0,1,9,1,MAML1,TF,Notch signaling pathway,,"Signalling Pathway, Proliferation of cells",,,,Activation,5,2,3,0,0,1,0.001158748552,0,0.008441787212,0.2640758874,0.0007904294599,1,0.1037231673
KLF5,4,"BIRC5,MMP9,SERPINE1,EGR1",292,"74,81,71,66","26,32,24,106",0,"oncogene, tumorsuppressor",0,0,2,69,1,KLF5,"oncogene, tumorsupressor","3D-structure,Activator,Alternative splicing,Complete proteome,DNA-binding,Metal-binding,Nucleus,Polymorphism,Reference proteome,Repeat,Transcription,Transcription regulation,Ubl conjugation,Zinc,Zinc-finger,",,"Transcription regulation, Apoptosis, Proliferation of cells",,,,Activation,2,1,0,0,1,4,0.002317497103,0.0004408712974,0.0197476937,0.2912588593,0.0008851442989,2,0.1037231673
FOXO1,1,EGR1,66,66,106,0,"oncogene, tumorsuppressor",0,0,1,9,1,FOXO1,"oncogene, tumorsupressor","FoxO signaling pathway, AMPK signaling pathway, Insulin signaling pathway, Thyroid hormone signaling pathway, Glucagon signaling pathway, Insulin resistance, Pathways in cancer, Transcriptional misregulation in cancer, Prostate cancer",,"Signalling Pathway, Apoptosis, Proliferation of cells",,,,Repression,2,2,0,0,0,1,0.002317497103,0.0002406816416,0.01769211466,0.293138587,0.0008786649804,2,0.1037231673
ATF5,1,EGR1,66,66,106,0,TF,0,0,1,9,1,ATF5,TF,"Acetylation,Activator,Coiled coil,Complete proteome,Cytoplasm,Cytoskeleton,DNA-binding,Nucleus,Phosphoprotein,Polymorphism,Reference proteome,Transcription,Transcription regulation,Ubl conjugation,",,"Transcription regulation, Apoptosis, Proliferation of cells",,,,Unknown,2,2,0,0,0,1,0.001158748552,0,0.008441787212,0.2640758874,0.0007904294599,1,0.1037231673
WNT4,1,EGR1,66,66,106,0,,0,0,1,9,1,WNT4,,"Wnt signaling pathway, Hippo signaling pathway, Signaling pathways regulating pluripotency of stem cells, Melanogenesis, Thyroid hormone signaling pathway, HTLV-I infection, Pathways in cancer, Proteoglycans in cancer, Basal cell carcinoma",,"Signalling Pathway, Proliferation of cells",,,-3.682056459,,4,3,0,0,1,0,0.001158748552,0,0.008441787212,0.2640758874,0.0007904294599,1,0.1037231673
UBE2S,1,EGR1,66,66,106,0,,0,0,1,9,1,UBE2S,,Ubiquitin mediated proteolysis,,Cell death,,,2.456823213,,,,,,,0,0.002317497103,0.0002406816416,0.01769211466,0.293138587,0.0008786649804,2,0.1037231673
TP73,2,"BIRC5,EGR1",140,"74,66","26,106",0,"oncogene, tumorsuppressor",0,0,2,55,1,TP73,"oncogene, tumorsupressor","p53 signaling pathway, Hippo signaling pathway, Neurotrophin signaling pathway, Measles",,"Signalling Pathway, Apoptosis, Proliferation of cells",,,,Unknown,2,2,0,0,0,1,0.001158748552,0,0.008441787212,0.2640758874,0.0007904294599,1,0.1037231673
TOE1,1,EGR1,66,66,106,0,,0,0,1,9,1,TOE1,,"3D-structure,Acetylation,Alternative splicing,Complete proteome,Direct protein sequencing,Metal-binding,Nucleus,Phosphoprotein,Polymorphism,Reference proteome,Zinc,Zinc-finger,",,,,,,,2,0,1,0,1,0,0.001158748552,0,0.02412570081,0.2849125124,0.0007959232079,1,0.1037231673
TNFSF10,1,EGR1,66,66,106,0,,0,0,1,9,1,TNFSF10,,"Cytokine-cytokine receptor interaction, FoxO signaling pathway, Apoptosis, Natural killer cell mediated cytotoxicity, Measles, Influenza A",,"Cell Signalling, Apoptosis, Proliferation of cells",,,,,2,0,2,0,0,0,0.1738122827,0.2409705969,0.3762721046,0.3982464236,0.03808111196,5,0.1037231673
TMPO,1,EGR1,66,66,106,0,,0,0,1,9,1,TMPO,,"3D-structure,Acetylation,Alternative splicing,Cardiomyopathy,Chromosome,Citrullination,Coiled coil,Complete proteome,Cytoplasm,Direct protein sequencing,Disease mutation,DNA-binding,Membrane,Methylation,Nucleus,Pharmaceutical,Phosphoprotein,Polymorphism,Proteomics identification,Reference proteome,Signal-anchor,Transmembrane,Transmembrane helix,",,"Signalling Pathway, Proliferation of cells",,,,,4,4,0,0,0,0,0.001158748552,0,0.02412570081,0.2849125124,0.0007959232079,1,0.1037231673
TGFBR2,1,EGR1,66,66,106,0,tumorsuppressor,0,0,1,9,1,TGFBR2,tumorsupressor,"MAPK signaling pathway, Cytokine-cytokine receptor interaction, FoxO signaling pathway, Endocytosis, TGF-beta signaling pathway, Osteoclast differentiation, Hippo signaling pathway, Adherens junction, Chagas disease (American trypanosomiasis), HTLV-I infection, Pathways in cancer, Transcriptional misregulation in cancer, Colorectal cancer, Pancreatic cancer, Chronic myeloid leukemia",,"Signalling Pathway, Apoptosis, Proliferation of cells",,,,,5,3,0,1,1,0,0.004634994206,0.007139989993,0.04905851202,0.3301453711,0.001098776095,4,0.1037231673
TFPI2,1,EGR1,66,66,106,0,tumorsuppressor,0,0,1,9,1,TFPI2,tumorsupressor,"3D-structure,Alternative splicing,Blood coagulation,Complete proteome,Direct protein sequencing,Disulfide bond,Glycoprotein,Hemostasis,Polymorphism,Protease inhibitor,Proteomics identification,Reference proteome,Repeat,Secreted,Serine protease inhibitor,Signal,",,"Signalling Pathway, Apoptosis, Proliferation of cells",,,,,5,3,2,0,0,0,0.001158748552,0,0.02412570081,0.2849125124,0.0007959232079,1,0.1037231673
TBXA2R,1,EGR1,66,66,106,0,,0,0,1,9,1,TBXA2R,,"Calcium signaling pathway, Neuroactive ligand-receptor interaction, Platelet activation",,"Signalling Pathway, Apoptosis, Proliferation of cells",,,,,,,,,,0,0.001158748552,0,0.02412570081,0.2849125124,0.0007959232079,1,0.1037231673
SYN2,1,EGR1,66,66,106,0,,0,0,1,9,1,SYN2,,"Alternative splicing,Cell junction,Complete proteome,Phosphoprotein,Polymorphism,Proteomics identification,Reference proteome,Synapse,",,Quantity of neurons,,,,,7,1,1,0,5,0,0.001158748552,0,0.02412570081,0.2849125124,0.0007959232079,1,0.1037231673
